user_id,condition,topic,climate_perc,concern,desired_frequency,exposure_frequency,hope,human_activity,importance,newsworthiness,problem,rating_combined
1653067657131_r2qxd,0.5,johnny,60,,2,5,,,3,3,,3
1653067731504_32h4z,-0.5,climate,10,6,3,4,3,6,6,6,6,6
1653067731504_32h4z,-0.5,election,10,,1,4,,,3,4,,3.5
1653067731504_32h4z,-0.5,johnny,10,,1,6,,,2,4,,3
1653067932921_4hdhh,0.5,climate,100,1,1,1,1,4,1,1,1,1
1653067932921_4hdhh,0.5,election,100,,3,4,,,6,6,,6
1653067932921_4hdhh,0.5,johnny,100,,1,1,,,1,1,,1
1653068293962_2g6se,0.5,climate,43,6,2,3,4,5,5,5,5,5
1653068293962_2g6se,0.5,election,43,,2,2,,,5,4,,4.5
1653068293962_2g6se,0.5,johnny,43,,3,7,,,2,6,,4
1653068301192_1uk6e,0.5,climate,78,4,3,5,3,5,5,6,5,5.5
1653068301192_1uk6e,0.5,election,78,,3,1,,,5,4,,4.5
1653068301192_1uk6e,0.5,johnny,78,,1,7,,,3,2,,2.5
1653068338639_gi4sv,-0.5,climate,7,2,1,5,3,2,2,2,2,2
1653068338639_gi4sv,-0.5,election,7,,2,6,,,6,6,,6
1653068338639_gi4sv,-0.5,johnny,7,,1,7,,,1,1,,1
1653068567528_9p83n,-0.5,climate,51,6,3,4,5,6,6,6,6,6
1653068567528_9p83n,-0.5,election,51,,3,6,,,6,6,,6
1653068567528_9p83n,-0.5,johnny,51,,2,6,,,4,4,,4
1653068570209_083k5,-0.5,climate,50,5,3,5,5,4,6,5,5,5.5
1653068570209_083k5,-0.5,election,50,,2,6,,,5,5,,5
1653068570209_083k5,-0.5,johnny,50,,2,4,,,5,6,,5.5
1653068809449_txq47,0.5,climate,65,6,3,7,4,5,6,6,6,6
1653068809449_txq47,0.5,election,65,,2,5,,,5,4,,4.5
1653068809449_txq47,0.5,johnny,65,,1,3,,,4,2,,3
1653069110966_23amy,0.5,climate,92,5,2,4,3,4,6,6,5,6
1653069110966_23amy,0.5,election,92,,3,3,,,6,6,,6
1653069110966_23amy,0.5,johnny,92,,2,7,,,4,5,,4.5
1653069237602_0jope,0.5,climate,85,2,1,7,4,4,4,2,2,3
1653069237602_0jope,0.5,election,85,,3,1,,,5,5,,5
1653069237602_0jope,0.5,johnny,85,,1,7,,,1,1,,1
1653069372123_vm3jv,0.5,climate,68,5,2,2,3,5,5,5,5,5
1653069372123_vm3jv,0.5,election,68,,2,5,,,5,4,,4.5
1653069372123_vm3jv,0.5,johnny,68,,1,6,,,1,1,,1
1653069457136_cubx8,0.5,climate,50,2,1,3,2,4,4,3,3,3.5
1653069457136_cubx8,0.5,election,50,,2,5,,,5,4,,4.5
1653069457136_cubx8,0.5,johnny,50,,1,6,,,1,1,,1
1653069678349_myqa5,0.5,climate,50,3,2,5,3,5,5,5,5,5
1653069678349_myqa5,0.5,election,50,,2,6,,,6,6,,6
1653069678349_myqa5,0.5,johnny,50,,2,6,,,4,4,,4
1653069837219_4ojrt,-0.5,climate,15,5,2,5,1,6,6,6,6,6
1653069837219_4ojrt,-0.5,election,15,,3,7,,,5,5,,5
1653069837219_4ojrt,-0.5,johnny,15,,1,7,,,1,1,,1
1653069848227_keol6,-0.5,climate,27,5,3,3,1,6,6,5,6,5.5
1653069848227_keol6,-0.5,election,27,,2,2,,,4,5,,4.5
1653069848227_keol6,-0.5,johnny,27,,2,6,,,5,4,,4.5
1653069997167_bwb2l,-0.5,climate,6,3,2,5,3,5,6,5,6,5.5
1653069997167_bwb2l,-0.5,election,6,,2,7,,,6,6,,6
1653069997167_bwb2l,-0.5,johnny,6,,2,7,,,5,4,,4.5
1653070497421_ity3c,-0.5,climate,5,6,3,5,2,6,6,6,6,6
1653070497421_ity3c,-0.5,election,5,,2,6,,,5,5,,5
1653070497421_ity3c,-0.5,johnny,5,,1,7,,,2,1,,1.5
1653070549847_8mtk7,-0.5,climate,20,3,2,4,2,5,4,4,4,4
1653070549847_8mtk7,-0.5,election,20,,3,1,,,5,6,,5.5
1653070549847_8mtk7,-0.5,johnny,20,,1,6,,,4,4,,4
1653070566316_9xx1j,-0.5,climate,70,5,3,5,3,6,5,5,5,5
